ws,wd,freq_val
0.0,0.0,2.8679121599475583e-05
0.0,5.0,1.2291052114060964e-05
0.0,10.0,1.2291052114060964e-05
0.0,15.000001,1.2291052114060964e-05
0.0,20.0,2.0485086856768273e-05
0.0,25.0,2.0485086856768273e-05
0.0,30.000002,8.194034742707309e-06
0.0,35.0,2.8679121599475583e-05
0.0,40.0,2.0485086856768273e-05
0.0,45.0,8.194034742707309e-06
0.0,50.0,1.2291052114060964e-05
0.0,55.0,2.8679121599475583e-05
0.0,60.000004,1.2291052114060964e-05
0.0,65.0,3.687315634218289e-05
0.0,70.0,8.194034742707309e-06
0.0,75.0,8.194034742707309e-06
0.0,80.0,2.0485086856768273e-05
0.0,85.0,3.2776138970829235e-05
0.0,90.0,8.194034742707309e-06
0.0,95.0,1.2291052114060964e-05
0.0,100.0,1.6388069485414618e-05
0.0,104.99999,3.687315634218289e-05
0.0,110.0,2.0485086856768273e-05
0.0,115.0,2.0485086856768273e-05
0.0,120.00001,2.0485086856768273e-05
0.0,125.0,8.194034742707309e-06
0.0,130.0,3.2776138970829235e-05
0.0,135.0,1.6388069485414618e-05
0.0,140.0,2.4582104228121928e-05
0.0,145.0,3.2776138970829235e-05
0.0,150.0,1.2291052114060964e-05
0.0,155.0,2.0485086856768273e-05
0.0,160.0,8.194034742707309e-06
0.0,165.0,1.6388069485414618e-05
0.0,170.0,2.0485086856768273e-05
0.0,175.0,3.687315634218289e-05
0.0,180.0,2.4582104228121928e-05
0.0,185.0,4.0970173713536546e-05
0.0,190.0,1.2291052114060964e-05
0.0,195.0,1.6388069485414618e-05
0.0,200.0,3.2776138970829235e-05
0.0,205.0,1.6388069485414618e-05
0.0,209.99998,2.8679121599475583e-05
0.0,215.00002,8.194034742707309e-06
0.0,220.0,2.0485086856768273e-05
0.0,225.0,8.194034742707309e-06
0.0,230.0,2.0485086856768273e-05
0.0,234.99998,1.2291052114060964e-05
0.0,240.00002,2.8679121599475583e-05
0.0,245.0,1.2291052114060964e-05
0.0,250.0,1.2291052114060964e-05
0.0,255.0,2.0485086856768273e-05
